Taxon,Category
Tachigali macropetala,LC
Tachigali melanocarpa,LC
Tachigali prancei,EN
Tachigali rubiginosa,LC
Paramachaerium krukovii,CR
Pterocarpus santalinoides,LC
Dimorphandra unijuga,LC
Leptolobium nitens,LC
Leptolobium parvifolium,EN
Crotalaria irwinii,CR
Erythrostemon calycinus,LC
Arachis villosa,EN
Calliandra imbricata,DD
Bauhinia holophylla,LC
Indigofera guaranitica,LC
Copaifera sabulicola,LC
Bocoa ratteri,DD
Ormosia froesii,DD
Macrolobium urupaense,DD
Chamaecrista linearis,LC
Chamaecrista curvifolia,LC
Copaifera arenicola,LC
Dahlstedtia pentaphylla,LC
Sellocharis paradoxa,VU
Mimosa chartostegia,LC
Parkia barnebyana,LC
Ormosia limae,EN
Aldina microphylla,DD
Tabaroa caatingicola,VU
Senna catingae,LC
Machaerium debile,LC
Machaerium jobimianum,LC
Leptolobium araguaiense,EN
Leptolobium multijugum,DD
Mimosa dasilvae,CR
Mimosa urandiensis,DD
Senegalia paganuccii,LC
Mimosa sobralii,EN
Staminodianthus rosae,VU
Panurea bowdichioides,DD
Machaerium androvillosum,CR
Machaerium robsonianum,LC
Moldenhawera intermedia,DD
Swartzia alagoensis,EN
Swartzia arenophila,EN
Swartzia revoluta,EN
Swartzia submontana,LC
Swartzia thomasii,EN
Swartzia arumateuana,LC
Swartzia prancei,DD
Swartzia rondoniensis,DD
Swartzia lanata,EN
Swartzia rugosa,VU
Senegalia hoehnei,LC
Hymenaea longifolia,LC
Chamaecrista latifolia,LC
Schnella alata,LC
Schnella grazielae,DD
Schnella angulosa,LC
Schnella microstachya,LC
Schnella maximiliani,LC
Schnella riedeliana,LC
Schnella platycalyx,LC
Schnella smilacina,LC
Schnella trichosepala,LC
Luetzelburgia guianensis,EN
Muellera denudata,LC
Schnella anamesa,LC
Mimosa perplicata,CR
Senegalia harleyi,LC
Senegalia irwinii,LC
Senegalia hatschbachii,LC
Muellera torrensis,EN
Muellera virgilioides,VU
Poecilanthe fluminensis,EN
Ormosia altimontana,EN
Muellera filipes,VU
Muellera tozziana,EN
Muellera graciliflora,CR
Muellera grazielae,EN
Muellera laticifera,EN
Muellera variabilis,EN
Muellera obtusa,LC
Ormosia lewisii,EN
Muellera montana,LC
Muellera longiunguiculata,LC
Muellera fernandesii,VU
Muellera leptobotrys,LC
Muellera nitens,EN
Dahlstedtia dehiscens,DD
Dahlstedtia lewisiana,DD
Dahlstedtia bahiana,EN
Dahlstedtia castaneifolia,DD
Dahlstedtia floribunda,LC
Dahlstedtia glaziovii,LC
Dahlstedtia grandiflora,EN
Dahlstedtia peckoltii,EN
Dahlstedtia muehlbergiana,DD
Ancistrotropis firmula,LC
Tachigali acrensis,CR
Tachigali schultesiana,DD
Acosmium diffusissimum,LC
Andira carvalhoi,LC
Albizia polycephala,LC
Andira marauensis,EN
Abarema cochliacarpos,LC
Andira nitida,LC
Arapatiella emarginata,EN
Arapatiella psilophylla,LC
Bauhinia integerrima,LC
Arachis dardani,LC
Brodriguesia santosii,NT
Arachis pusilla,LC
Blanchetiodendron blanchetii,LC
Calliandra asplenioides,LC
Calliandra aeschynomenoides,LC
Calliandra bella,LC
Calliandra bahiana,LC
Calliandra duckei,DD
Calliandra calycina,LC
Calliandra depauperata,LC
Calliandra leptopoda,LC
Calliandra erubescens,LC
Calliandra semisepulta,VU
Calliandra subspicata,LC
Calliandra macrocalyx,LC
Centrosema sagittatum,LC
Chamaecrista amabilis,EN
Chamaecrista amorimii,EN
Calliandra viscidula,LC
Chamaecrista aspleniifolia,NT
Chamaecrista belemii,LC
Canavalia parviflora,LC
Chamaecrista duartei,LC
Chamaecrista barbata,LC
Chamaecrista carobinha,LC
Chloroleucon extortum,LC
Chloroleucon tortum,NT
Copaifera majorina,VU
Chamaecrista duckeana,LC
Crotalaria subdecurrens,LC
Coursetia vicioides,EN
Chamaecrista swainsonii,LC
Exostyles venusta,LC
Inga aptera,EN
Inga blanchetiana,LC
Inga congesta,NT
Inga bollandii,LC
Inga exfoliata,NT
Inga grazielae,EN
Inga hispida,LC
Inga pedunculata,EN
Inga pleiogyna,EN
Inga suborbicularis,EN
Inga leptantha,LC
Inga unica,EN
Eriosema venulosum,LC
Machaerium floridum,NT
Machaerium leucopterum,LC
Inga vulpina,LC
Machaerium pedicellatum,LC
Macrolobium latifolium,LC
Mimosa adenocarpa,LC
Mimosa blanchetii,LC
Mimosa aurivillus,LC
Mimosa borboremae,LC
Mimosa caesalpiniifolia,LC
Mimosa brachycarpa,LC
Machaerium oblongifolium,LC
Mimosa coruscocaesia,LC
Mimosa dichroa,NT
Mimosa cordistipula,LC
Mimosa extensa,LC
Mimosa foliolosa,LC
Mimosa leptantha,DD
Mimosa irrigua,LC
Mimosa hypoglauca,LC
Mimosa mensicola,EN
Mimosa melanocarpa,LC
Mimosa niomarlei,DD
Mimosa lewisii,LC
Mimosa misera,LC
Mimosa ophthalmocentra,LC
Mimosa pithecolobioides,LC
Mimosa polydidyma,LC
Mimosa sericantha,LC
Mimosa pseudosepiaria,LC
Mimosa ulbrichiana,LC
Moldenhawera floribunda,NT
Moldenhawera nutans,EN
Ormosia bahiensis,LC
Ormosia nitida,NT
Parapiptadenia blanchetii,LC
Parapiptadenia ilheusana,CR
Parapiptadenia pterosperma,LC
Mimosa setuligera,LC
Platymiscium speciosum,EN
Poecilanthe falcata,LC
Poecilanthe grandiflora,LC
Mimosa polycephala,LC
Pseudopiptadenia contorta,LC
Pseudopiptadenia warmingii,LC
Pterocarpus monophyllus,EN
Pterocarpus villosus,LC
Pterocarpus zehntneri,LC
Parapiptadenia zehntneri,LC
Senna appendiculata,LC
Senna formosa,VU
Senna acutisepala,LC
Senna martiana,LC
Senna aversiflora,LC
Senna phlebadenia,LC
Swartzia curranii,DD
Swartzia langsdorffii,LC
Stryphnodendron adstringens,LC
Swartzia micrantha,EN
Swartzia pinheiroana,EN
Tachigali multijuga,DD
Swartzia pickelii,VU
Trischidium limae,EN
Vataireopsis araroba,NT
Trischidium molle,LC
Senna pinheiroi,LC
Zollernia glabra,LC
Zollernia modesta,NT
Zapoteca filipes,LC
Zornia afranioi,LC
Zornia echinocarpa,LC
Zornia harmsiana,LC
Vigna halophila,LC
Zornia tenuifolia,LC
Abarema acreana,EN
Amburana acreana,EN
Andira macrothyrsa,LC
Andira multistipula,VU
Amburana cearensis,NT
Andira vermifuga,LC
Bauhinia acreana,LC
Andira inermis,LC
Browneopsis peruviana,EN
Bowdichia nitida,LC
Centrosema pubescens,LC
Dalbergia miscolobium,LC
Apuleia leiocarpa,VU
Dalbergia nigra,VU
Erythrina verna,LC
Dipteryx odorata,VU
Hymenaea parvifolia,VU
Inga barbata,LC
Inga bullatorugosa,EN
Inga calantha,LC
Hymenaea courbaril,LC
Inga virescens,LC
Hymenaea oblongifolia,LC
Inga laurina,LC
Machaerium tortipes,EN
Machaerium aureiflorum,LC
Swartzia arborescens,LC
Machaerium hirtum,LC
Swartzia simplex,LC
Swartzia apetala,LC
Harpalyce lanata,EN
Bauhinia catingae,LC
Calliandra fasciculata,LC
Mimosa antrorsa,LC
Bauhinia candelabriformis,CR
Bauhinia acuruana,LC
Bauhinia curvula,LC
Bauhinia dumosa,LC
Bauhinia leptantha,LC
Bauhinia malacotrichoides,VU
Bauhinia marginata,DD
Bauhinia membranacea,LC
Bauhinia goyazensis,LC
Bauhinia subclavata,LC
Chamaecrista altoana,EN
Bauhinia gardneri,LC
Chamaecrista anamariae,EN
Chamaecrista aristata,DD
Chamaecrista amiciella,LC
Chamaecrista acosmifolia,LC
Chamaecrista bracteolata,EN
Chamaecrista brevicalyx,LC
Chamaecrista brachyrachis,LC
Chamaecrista caiapo,DD
Chamaecrista aurivilla,LC
Chamaecrista campicola,LC
Chamaecrista cathartica,LC
Chamaecrista catiarae,DD
Chamaecrista catolesensis,VU
Chamaecrista cardiostegia,LC
Chamaecrista choriophylla,DD
Chamaecrista cavalcantina,LC
Chamaecrista coradinii,VU
Chamaecrista ciliolata,LC
Chamaecrista conferta,LC
Chamaecrista cotinifolia,LC
Chamaecrista cytisoides,LC
Chamaecrista dalbergiifolia,LC
Chamaecrista deltoidea,DD
Chamaecrista decumbens,LC
Chamaecrista debilis,LC
Chamaecrista dentata,LC
Chamaecrista exsudans,LC
Chamaecrista fodinarum,EN
Chamaecrista feliciana,LC
Chamaecrista fulgida,CR
Chamaecrista gumminans,DD
Chamaecrista filicifolia,LC
Chamaecrista gymnothyrsa,EN
Chamaecrista hatschbachii,EN
Chamaecrista hedysaroides,LC
Chamaecrista foederalis,LC
Chamaecrista incana,LC
Chamaecrista incurvata,LC
Chamaecrista isidorea,LC
Chamaecrista lagotois,CR
Chamaecrista juruenensis,LC
Chamaecrista lavradioides,VU
Chamaecrista jacobinea,LC
Chamaecrista lentiscifolia,DD
Chamaecrista leucopilis,DD
Chamaecrista linearifolia,LC
Chamaecrista macedoi,EN
Chamaecrista machaeriifolia,LC
Chamaecrista lavradiiflora,LC
Chamaecrista lundii,LC
Chamaecrista nuda,EN
Chamaecrista mucronata,LC
Chamaecrista neesiana,LC
Chamaecrista nummulariifolia,LC
Chamaecrista ochrosperma,VU
Chamaecrista pachyclada,DD
Chamaecrista ochnacea,LC
Chamaecrista paniculata,LC
Chamaecrista pilosa,LC
Chamaecrista planaltoana,LC
Chamaecrista pohliana,LC
Chamaecrista polymorpha,DD
Chamaecrista oligosperma,LC
Chamaecrista psoraleopsis,DD
Chamaecrista polita,LC
Chamaecrista potentilla,LC
Chamaecrista scabra,LC
Chamaecrista semaphora,LC
Chamaecrista punctata,LC
Chamaecrista secunda,LC
Chamaecrista spinulosa,DD
Chamaecrista strictifolia,DD
Chamaecrista stillifera,VU
Chamaecrista setosa,LC
Chamaecrista tephrosiifolia,VU
Chamaecrista trachycarpa,LC
Chamaecrista ulmea,EN
Chamaecrista urophyllidia,LC
Chamaecrista tragacanthoides,LC
Melanoxylon brauna,VU
Peltogyne discolor,VU
Moldenhawera blanchetiana,VU
Chamaecrista venulosa,LC
Pterogyne nitens,LC
Senna affinis,LC
Senna angulata,LC
Senna cearensis,LC
Senna reniformis,LC
Senna corifolia,LC
Senna rizzinii,LC
Senna acuruensis,LC
Senna trachypus,LC
Aeschynomene selloi,LC
Andira anthelmia,LC
Acosmium lentiscifolium,LC
Andira cordata,LC
Andira fraxinifolia,LC
Andira humilis,LC
Andira legalis,LC
Andira ormosioides,LC
Arachis benthamii,LC
Arachis kuhlmannii,LC
Arachis lutescens,LC
Arachis burchellii,LC
Arachis macedoi,LC
Arachis pintoi,LC
Arachis prostrata,LC
Arachis repens,LC
Arachis stenosperma,LC
Bowdichia virgilioides,NT
Centrolobium sclerophyllum,LC
Centrolobium tomentosum,LC
Canavalia picta,LC
Centrosema bracteosum,LC
Centrosema arenarium,LC
Centrosema coriaceum,LC
Centrosema teresae,DD
Clitoria densiflora,LC
Clitoria epetiolata,NT
Clitoria laurifolia,LC
Collaea speciosa,LC
Coursetia rostrata,LC
Crotalaria goiasensis,NT
Centrosema dasyanthum,LC
Crotalaria otoptera,LC
Crotalaria rufipila,NT
Crotalaria nitens,LC
Dalbergia acuta,LC
Dalbergia decipularis,LC
Dalbergia foliolosa,LC
Dalbergia elegans,LC
Dalbergia glaucescens,LC
Dalbergia hortensis,DD
Deguelia hatschbachii,VU
Diplotropis ferruginea,LC
Desmodium glabrescens,EN
Dipteryx alata,VU
Eriosema glaziovii,DD
Eriosema floribundum,LC
Eriosema defoliatum,LC
Eriosema longiflorum,LC
Eriosema heterophyllum,LC
Erythrina speciosa,LC
Galactia striata,LC
Galactia glaucescens,LC
Harpalyce parvifolia,EN
Indigofera bongardiana,LC
Luetzelburgia auriculata,LC
Lupinus laevigatus,EN
Lupinus coriaceus,VU
Lupinus parvifolius,DD
Machaerium brasiliense,LC
Eriosema rigidum,LC
Machaerium fulvovenosum,LC
Machaerium acutifolium,LC
Machaerium incorruptibile,LC
Machaerium mucronulatum,LC
Machaerium nigrum,LC
Machaerium condensatum,LC
Machaerium opacum,LC
Machaerium ovalifolium,LC
Machaerium nyctitans,LC
Machaerium lanceolatum,LC
Machaerium villosum,LC
Mysanthus uleanus,LC
Myroxylon peruiferum,LC
Machaerium paraguariense,LC
Ormosia fastigiata,LC
Poecilanthe parviflora,LC
Poecilanthe subcordata,LC
Ormosia arborea,LC
Platycyamus regnellii,LC
Poiretia marginata,EN
Poiretia bahiana,LC
Poiretia unifoliolata,EN
Poiretia angustifolia,LC
Stylosanthes campestris,LC
Stylosanthes aurea,LC
Stylosanthes nunoi,DD
Stylosanthes debilis,LC
Stylosanthes pilosa,LC
Swartzia bahiensis,VU
Swartzia flaemingii,LC
Stylosanthes macrocephala,LC
Swartzia multijuga,LC
Swartzia pilulifera,LC
Swartzia acutifolia,LC
Tephrosia adunca,LC
Zollernia paraensis,LC
Tephrosia egregia,LC
Zornia cearensis,LC
Zornia glaziovii,CR
Zornia mitziana,DD
Zornia flemmingioides,LC
Zornia ramboiana,LC
Swartzia macrostachya,LC
Zornia virgata,LC
Calliandra foliolosa,LC
Calliandra gardneri,EN
Calliandra linearis,VU
Calliandra santosiana,DD
Calliandra carrascana,EN
Leucochloron foederale,EN
Leucochloron minarum,EN
Mimosa acroconica,CR
Mimosa adamantina,EN
Mimosa adenotricha,NT
Mimosa albolanata,LC
Mimosa barretoi,EN
Mimosa bispiculata,CR
Mimosa bombycina,EN
Mimosa apodocarpa,LC
Mimosa chrysastra,CR
Mimosa capito,NT
Mimosa cryptothamnos,EN
Mimosa cubatanensis,NT
Mimosa cyclophylla,CR
Mimosa decorticans,EN
Mimosa claussenii,LC
Mimosa dominarum,EN
Mimosa discobola,LC
Mimosa gardneri,LC
Mimosa furfuracea,LC
Mimosa hebecarpa,LC
Mimosa heringeri,EN
Mimosa humifusa,DD
Mimosa humivagans,DD
Mimosa interrupta,LC
Mimosa lanata,DD
Mimosa gracilis,LC
Mimosa laniceps,DD
Mimosa lithoreas,EN
Mimosa leprosa,EN
Mimosa macedoana,EN
Mimosa manidea,NT
Mimosa montis-carasae,EN
Mimosa oligosperma,EN
Mimosa micropteris,LC
Mimosa pabstiana,LC
Mimosa orthacantha,LC
Mimosa paucifolia,VU
Mimosa pseudotrachycarpa,LC
Mimosa pycnocoma,DD
Mimosa pyrenea,NT
Mimosa regina,EN
Mimosa rheiptera,EN
Mimosa papposa,LC
Mimosa setosissima,LC
Mimosa splendida,EN
Mimosa suburbana,CR
Mimosa radula,LC
Mimosa ulei,EN
Mimosa uniceps,EN
Mimosa thomista,EN
Mimosa virgula,NT
Mimosa rufipila,LC
Zygia odoratissima,DD
Piptadenia gonoacantha,LC
Mimosa verecunda,LC
Ormosia timboensis,CR
Hymenaea fariana,NT
Bauhinia uberlandiana,CR
Bauhinia piresii,DD
Arachis veigae,LC
Paubrasilia echinata,CR
Dialium rondoniense,EN
Moldenhawera longipedicellata,EN
Inga retinocarpa,DD
Amburana erythrosperma,DD
Senegalia cearensis,VU
Mimosa neonitens,EN
Dinizia jueirana-facao,CR
Hymenaea cangaceira,NT
Parasenegalia santosii,LC
Mimosa osmarii,VU
Cenostigma laxiflorum,LC
Cenostigma bracteosum,LC
Cenostigma nordestinum,LC
Cenostigma microphyllum,LC
Swartzia hilaireana,VU
Cenostigma pyramidale,LC
Tachigali spathulipetala,EN
Ctenodon bradei,EN
Ctenodon graminoides,EN
Macropsychanthus glaber,LC
Parasenegalia incerta,DD
Parasenegalia miersii,EN
Ctenodon lacabuendianus,EN
Ctenodon monteiroi,LC
Ctenodon simplicifolius,VU
Chamaecrista cyclophylla,LC
Mantiqueira bella,DD
Cratylia isopetala,LC
Betencourtia neesii,LC
Betencourtia stereophylla,LC
Betencourtia crassifolia,LC
Bauhinia corifolia,LC
Paloue emarginata,LC
Schnella radiata,LC
Jupunba barnebyana,EN
Jupunba brachystachya,LC
Jupunba campestris,LC
Jupunba langsdorffii,LC
Jupunba piresii,LC
Jupunba rhombea,DD
Jupunba filamentosa,LC
Jupunba turbinata,NT
Jupunba villifera,DD
Jupunba villosa,LC
Gwilymia occhioniana,LC
Gwilymia paniculata,LC
Gwilymia racemifera,LC
Naiadendron duckeanum,LC
Gwilymia coriacea,LC
Dipteryx hermetopascoaliana,EN
Mimosa afranioi,EN
Mimosa emaensis,VU
Mimosa robsonii,DD
Senna bahiensis,CR
Mimosa sevilhae,EN
Eperua glabra,DD
Mimosa carajarum,CR
Aldina heterophylla,VU
Aldina polyphylla,DD
Bauhinia aureopunctata,NT
Bauhinia bombaciflora,LC
Aldina occidentalis,DD
Bauhinia glaziovii,CR
Bauhinia longipedicellata,LC
Cassia rubriflora,EN
Cenostigma tocantinum,LC
Chamaecrista simplifacta,EN
Copaifera cearensis,DD
Chamaecrista onusta,LC
Copaifera duckei,LC
Copaifera lucens,LC
Copaifera glycycarpa,LC
Cynometra duckei,LC
Cynometra stenopetala,LC
Dicymbe amazonica,DD
Dicymbe heteroxylon,DD
Dimorphandra campinarum,LC
Dimorphandra caudata,LC
Dimorphandra mediocris,DD
Cynometra longifolia,DD
Dimorphandra parviflora,LC
Dimorphandra urubuensis,LC
Dimorphandra multiflora,LC
Dimorphandra wilsonii,EN
Elizabetha durissima,DD
Elizabetha paraensis,DD
Elizabetha speciosa,VU
Eperua duckeana,LC
Dimorphandra jorgei,LC
Eperua oleifera,LC
Eperua glabriflora,LC
Hymenaea reticulata,LC
Hymenaea altissima,LC
Jacqueshuberia purpurea,LC
Jacqueshuberia quinquangulata,DD
Macrolobium brevense,LC
Macrolobium cidii,DD
Macrolobium furcatum,DD
Macrolobium longipedicellatum,LC
Exostyles godoyensis,NT
Macrolobium montanum,DD
Peltogyne altissima,EN
Peltogyne angustiflora,NT
Peltogyne campestris,LC
Macrolobium palustre,DD
Peltogyne catingae,LC
Peltogyne excelsa,VU
Peltogyne chrysopis,EN
Peltogyne gracilipes,EN
Peltogyne lecointei,CR
Peltogyne maranhensis,VU
Peltogyne mattosiana,EN
Peltogyne micrantha,DD
Peltogyne paradoxa,VU
Peltogyne recifensis,NT
Peltogyne paniculata,LC
Recordoxylon stenopetalum,DD
Swartzia alternifoliolata,EN
Swartzia coriaceifolia,DD
Swartzia discocarpa,EN
Swartzia duckei,NT
Swartzia euxylophora,EN
Swartzia fimbriata,DD
Swartzia ingens,VU
Swartzia lamellata,VU
Hymenaea velutina,LC
Swartzia linharensis,EN
Swartzia mangabalensis,DD
Swartzia oriximinaensis,DD
Swartzia longistipitata,LC
Swartzia riedelii,VU
Tachigali catingae,DD
Swartzia recurva,LC
Zollernia magnifica,EN
Inga bicoloriflora,LC
Inga duckei,LC
Inga micradenia,LC
Inga santaremnensis,DD
Inga xinguensis,EN
Leucochloron limae,EN
Mimosa bathyrrhena,EN
Mimosa glycyrrhizoides,DD
Calliandra spinosa,LC
Mimosa hatschbachii,EN
Mimosa laticifera,LC
Mimosa kuhnisteroides,EN
Mimosa lepidophora,NT
Mimosa pteridifolia,LC
Mimosa urticaria,EN
Parkia bahiae,EN
Parkia paraensis,NT
Piptadenia laxipinna,DD
Pseudopiptadenia bahiana,LC
Alexa bauhiniiflora,VU
Alexa grandiflora,LC
Andira micrantha,LC
Andira parviflora,LC
Senna organensis,LC
Andira unifoliolata,LC
Centrosema carajasense,VU
Cratylia bahiensis,NT
Dalbergia cearensis,NT
Diplotropis incexis,LC
Goniorrhachis marginata,LC
Grazielodendron rio-docensis,EN
Hymenolobium alagoanum,LC
Harleyodendron unifoliolatum,EN
Hymenolobium excelsum,VU
Hymenolobium grazielanum,LC
Hymenolobium heterocarpum,EN
Hymenolobium janeirense,LC
Hymenolobium modestum,NT
Hymenolobium sericeum,NT
Martiodendron fluminense,VU
Ormosia excelsa,LC
Luetzelburgia andradelimae,LC
Hymenolobium heringerianum,NT
Ormosia vicosana,LC
Petaladenium urceoliferum,LC
Ormosia paraensis,LC
Poecilanthe itapuana,VU
Pterocarpus ternatus,LC
Vatairea heteroptera,LC
Vataireopsis iglesiasii,DD
Ormosia santaremnensis,LC
Albizia decandra,NT
Albizia glabripetala,EN
Aeschynomene montevidensis,LC
Albizia niopoides,LC
Andira praecox,DD
Andira cujabensis,LC
Androcalymma glabrifolium,DD
Bauhinia cheilantha,LC
Bauhinia burchellii,LC
Bauhinia cupulata,LC
Bauhinia grandifolia,LC
Bauhinia dubia,LC
Calliandra jariensis,DD
Bauhinia longifolia,LC
Calliandra umbellifera,LC
Centrolobium paraense,EN
Calliandra virgata,LC
Chamaecrista dumalis,NT
Chamaecrista pascuorum,LC
Chamaecrista scleroxylon,NT
Chamaecrista bahiae,LC
Copaifera piresii,LC
Chamaecrista xinguensis,NT
Cynometra marleneae,EN
Desmodium juruenense,EN
Cynometra macrocarpa,DD
Desmodium procumbens,LC
Dicymbe mollis,LC
Dicymbe arenicola,EN
Dicymbe stipitata,DD
Dicymbe puncticulosa,EN
Dimorphandra coccinea,LC
Dimorphandra gigantea,DD
Diplotropis rodriguesii,VU
Dipteryx lacunifera,LC
Dipteryx magnifica,LC
Dipteryx micrantha,EN
Dipteryx polyphylla,LC
Dipteryx punctata,LC
Dipteryx rosea,LC
Enterolobium gummiferum,LC
Heterostemon impar,DD
Hymenaea aurea,LC
Hymenaea maranhensis,LC
Hymenaea martiana,LC
Inga caudata,DD
Inga exilis,EN
Dioclea fimbriata,LC
Inga lentiscifolia,NT
Inga microcalyx,DD
Inga peduncularis,DD
Inga salicifoliola,DD
Inga leptocarpa,DD
Inga suberosa,EN
Inga sessilis,LC
Luetzelburgia amazonica,EN
Machaerium inundatum,LC
Leptolobium elegans,LC
Machaerium sericiflorum,LC
Machaerium froesii,LC
Macrolobium conjunctum,DD
Macrolobium cowanii,DD
Macrolobium duckeanum,LC
Macrolobium froesii,DD
Macrolobium prancei,LC
Macrolobium rigidum,LC
Macrosamanea macrocalyx,EN
Machaerium punctatum,LC
Macrosamanea prancei,DD
Mimosa exalbescens,DD
Machaerium uncinatum,LC
Mimosa filipes,LC
Mimosa paraibana,LC
Mimosa piptoptera,LC
Mora paraensis,NT
Myrocarpus fastigiatus,LC
Mimosa verrucosa,LC
Ormosia solimoesensis,LC
Paloue induta,EN
Parkia cachimboensis,LC
Parkia lutea,DD
Myrocarpus frondosus,LC
Parkia platycephala,LC
Peltogyne confertiflora,LC
Platymiscium filipes,LC
Pseudopiptadenia leptostachya,LC
Rhynchosia reticulata,LC
Mimosa supravisa,LC
Plathymenia reticulata,LC
Swartzia amazonica,DD
Senna gardneri,LC
Swartzia corrugata,LC
Swartzia dipetala,VU
